Beta/phi=-1 ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 0 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -5 ° ;1.040;1.060;1.100;1.150;1.200;1.200;1.100;1.000
 -10 ° ;1.060;1.120;1.160;1.220;1.300;1.400;1.500;1.550
 -15 ° ;1.100;1.200;1.250;1.350;1.550;1.700;1.900;2.000
 -20 ° ;1.150;1.250;1.380;1.450;1.700;2.000;2.200;2.300
 -25 ° ;1.160;1.270;1.450;1.550;1.800;2.400;2.500;3.500
 -30 ° ;1.180;1.320;1.560;1.650;2.100;2.800;3.000;4.000
 -35 ° ;1.180;1.360;1.650;1.800;2.200;3.000;4.000;4.600
 -40 ° ;1.160;1.380;1.700;2.000;2.400;3.500;4.300;5.300
 -45 ° ;1.140;1.400;1.750;2.200;2.600;4.200;5.000;6.000
 -50 ° ;1.100;1.400;1.850;2.250;3.100;4.600;6.000;8.000
 -55 ° ;1.100;1.400;1.900;2.300;3.300;5.400;8.000;11.000
 -60 ° ;1.060;1.400;1.920;2.400;3.800;6.000;10.000;14.000
 -65 ° ;  ;1.380;1.950;2.500;4.000;6.600;11.000;16.000
 -70 ° ;  ;1.300;1.900;2.700;4.500;7.500;13.000;20.000
 -75 ° ;  ;1.260;1.900;2.800;5.000;8.000;16.000;28.000
 -80 ° ;  ;1.200;1.900;2.900;5.600;9.000;18.000;34.000
 -85 ° ;  ;1.120;1.900;3.000;6.000;10.000;20.000;44.000
 -90 ° ;  ;1.000;1.900;3.100;6.400;13.000;27.000;52.000
;;;;;;;;
 Beta/phi=-0.8 ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;1.040;1.090;1.130;1.150;1.200;1.200;1.200;1.250
 10 ° ;1.120;1.180;1.280;1.350;1.420;1.450;1.600;1.800
 5 ° ;1.180;1.280;1.400;1.530;1.680;1.800;2.000;2.500
 0 ° ;1.240;1.380;1.540;1.720;1.920;2.100;2.500;2.900
 -5 ° ;1.300;1.470;1.700;1.930;2.200;2.600;3.100;4.000
 -10 ° ;1.340;1.540;1.800;2.200;2.600;3.000;3.100;5.000
 -15 ° ;1.370;1.640;1.950;2.400;2.900;3.600;4.500;6.500
 -20 ° ;1.400;1.700;2.100;2.600;3.300;4.300;5.600;7.800
 -25 ° ;1.420;1.780;2.250;2.900;3.700;5.000;7.000;10.000
 -30 ° ;1.430;1.830;2.400;3.100;4.200;5.800;8.200;12.000
 -35 ° ;1.420;1.890;2.550;3.400;4.700;7.000;10.000;16.000
 -40 ° ;1.410;1.920;2.650;3.700;5.300;8.000;12.000;19.000
 -45 ° ;1.400;1.960;2.800;4.000;5.800;9.000;15.000;25.000
 -50 ° ;1.360;1.980;2.900;4.300;6.600;10.000;17.000;31.000
 -55 ° ;1.320;1.990;3.000;4.700;7.200;12.000;21.000;38.000
 -60 ° ;1.270;1.980;3.100;5.000;8.200;13.800;25.000;48.000
 -65 ° ;1.200;1.960;3.200;5.300;9.100;16.000;30.000;60.000
 -70 ° ;1.120;1.930;3.300;5.700;10.000;17.400;36.000;76.000
 -75 ° ;1.030;1.880;3.400;6.100;11.200;21.000;44.000;94.000
 -80 ° ;  ;1.800;3.400;6.500;12.400;25.000;52.000;120.000
 -85 ° ;  ;1.730;3.500;6.900;14.000;28.000;63.000;150.000
 -90 ° ;  ;1.610;3.500;7.300;15.000;32.000;76.000;191.000
;;;;;;;;
 Beta\Phi=-0.667 ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;1.000;1.040;1.100;1.120;1.150;1.180;1.300
 20 ° ;1.060;1.110;1.160;1.240;1.330;1.400;1.550;1.750
 15 ° ;1.130;1.230;1.340;1.460;1.600;1.780;2.000;2.400
 10 ° ;1.200;1.330;1.480;1.640;1.900;2.100;2.550;3.000
 5 ° ;1.270;1.440;1.670;1.910;2.200;2.650;3.200;4.000
 0 ° ;1.330;1.550;1.800;2.100;2.500;3.100;3.800;5.000
 -5 ° ;1.390;1.640;2.000;2.400;2.900;3.700;4.900;6.500
 -10 ° ;1.430;1.700;2.100;2.650;3.400;4.300;5.100;8.000
 -15 ° ;1.470;1.820;2.300;2.900;3.800;5.200;7.000;10.400
 -20 ° ;1.490;1.900;2.450;3.200;4.400;6.000;8.500;13.000
 -25 ° ;1.520;1.980;2.650;3.500;4.800;7.000;10.500;16.800
