 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 0 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -10 ° ;  ;  ;  ;  ;1.060;1.100;1.120;1.120
 -15 ° ;1.040;1.060;1.080;1.100;1.250;1.330;1.370;1.370
 -20 ° ;1.070;1.140;1.210;1.280;1.410;1.530;1.570;1.570
 -25 ° ;1.090;1.190;1.280;1.380;1.500;1.730;1.750;2.050
 -30 ° ;1.100;1.240;1.370;1.470;1.630;1.900;2.050;2.350
 -35 ° ;1.090;1.260;1.450;1.580;1.870;2.150;2.550;2.700
 -40 ° ;1.070;1.270;1.500;1.730;2.150;2.550;2.750;3.100
 -45 ° ;1.060;1.280;1.560;1.850;2.300;3.000;3.400;4.000
 -50 ° ;1.030;1.280;1.630;1.920;2.550;3.400;4.100;5.300
 -55 ° ;  ;1.280;1.670;1.980;2.800;4.000;5.200;7.000
 -60 ° ;  ;1.270;1.690;2.050;3.100;4.500;6.400;8.700
 -65 ° ;  ;1.230;1.720;2.150;3.200;5.000;7.100;10.000
 -70 ° ;  ;1.170;1.670;2.300;3.500;5.600;8.300;12.000
 -75 ° ;  ;1.140;1.670;2.350;3.900;6.100;10.100;16.000
 -80 ° ;  ;1.070;1.670;2.450;4.300;6.900;11.600;19.300
 -85 ° ;  ;  ;1.670;2.550;4.700;8.000;13.300;24.500
 -90 ° ;  ;  ;1.630;2.550;5.100;9.700;17.300;31.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;1.120;1.180;1.240;1.300;1.340;1.380;1.300;1.300
 0 ° ;1.200;1.300;1.400;1.530;1.580;1.650;1.800;1.700
 -5 ° ;1.270;1.400;1.540;1.700;1.820;2.000;2.400;2.250
 -10 ° ;1.290;1.460;1.650;1.900;2.150;2.400;2.800;3.000
 -15 ° ;1.320;1.540;1.780;2.050;2.400;2.800;3.100;4.000
 -20 ° ;1.350;1.610;1.920;2.250;2.700;3.300;3.800;5.000
 -25 ° ;1.370;1.660;2.050;2.500;3.000;3.800;4.800;6.500
 -30 ° ;1.380;1.720;2.150;2.700;3.400;4.400;5.600;8.000
 -35 ° ;1.380;1.760;2.250;2.900;3.800;5.000;6.500;9.500
 -40 ° ;1.360;1.790;2.350;3.100;4.200;5.700;8.000;12.000
 -45 ° ;1.340;1.810;2.450;3.400;4.600;6.500;9.800;14.500
 -50 ° ;1.300;1.820;2.550;3.600;5.200;7.500;11.000;18.000
 -55 ° ;1.250;1.820;2.650;3.900;5.600;8.500;13.500;22.500
 -60 ° ;1.200;1.800;2.750;4.200;6.400;10.000;16.000;28.000
 -65 ° ;1.130;1.780;2.800;4.400;7.000;11.500;19.000;36.000
 -70 ° ;1.050;1.740;2.850;4.700;7.700;13.000;22.000;44.000
 -75 ° ;  ;1.680;2.900;4.900;8.600;15.000;28.000;56.000
 -80 ° ;  ;1.600;2.900;5.200;9.500;17.000;33.000;68.000
 -85 ° ;  ;1.510;2.950;5.500;10.400;20.000;40.000;88.000
 -90 ° ;  ;1.400;2.950;5.800;11.500;23.000;48.000;109.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;1.020;1.080;1.130;1.160;1.230;1.270;1.300;1.200
 10 ° ;1.150;1.250;1.360;1.440;1.530;1.620;1.800;1.900
 5 ° ;1.230;1.360;1.510;1.680;1.850;2.000;2.200;2.450
 0 ° ;1.290;1.460;1.660;1.860;2.150;2.400;2.800;3.000
 -5 ° ;1.340;1.550;1.790;2.100;2.400;2.800;3.300;4.000
 -10 ° ;1.380;1.630;1.940;2.300;2.800;3.300;4.100;5.000
 -15 ° ;1.410;1.710;2.100;2.500;3.100;3.800;4.800;6.500
 -20 ° ;1.440;1.790;2.200;2.750;3.500;4.300;6.000;8.000
 -25 ° ;1.450;1.840;2.350;3.000;3.900;5.000;7.200;10.000
 -30 ° ;1.460;1.900;2.500;3.300;4.400;6.000;8.300;12.500
