 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 0 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -15 ° ;  ;  ;1.000;1.020;1.100;1.150;1.100;1.050
 -20 ° ;1.030;1.100;1.120;1.150;1.270;1.300;1.250;1.200
 -25 ° ;1.050;1.150;1.200;1.270;1.350;1.400;1.370;1.350
 -30 ° ;1.060;1.200;1.280;1.350;1.400;1.450;1.550;1.500
 -35 ° ;1.050;1.210;1.350;1.470;1.700;1.750;1.800;1.750
 -40 ° ;1.030;1.220;1.400;1.600;2.050;2.050;2.000;2.000
 -45 ° ;1.020;1.220;1.460;1.680;2.150;2.400;2.600;3.000
 -50 ° ;1.000;1.220;1.520;1.750;2.300;2.800;3.200;4.000
 -55 ° ;  ;1.220;1.550;1.820;2.550;3.300;3.800;5.000
 -60 ° ;  ;1.210;1.580;1.900;2.700;3.700;4.600;6.000
 -65 ° ;  ;1.160;1.600;2.000;2.850;4.200;5.200;7.000
 -70 ° ;  ;1.100;1.560;2.100;3.000;4.700;6.000;8.000
 -75 ° ;  ;1.080;1.550;2.150;3.400;5.200;7.200;10.000
 -80 ° ;  ;  ;1.550;2.250;3.700;5.900;8.400;12.000
 -85 ° ;  ;  ;1.550;2.300;4.000;7.000;10.000;15.000
 -90 ° ;  ;  ;1.500;2.250;4.400;8.000;12.500;20.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;  ;  ;  ;1.060;1.070;1.080;1.000;1.000
 0 ° ;1.160;1.230;1.300;1.320;1.400;1.420;1.400;1.300
 -5 ° ;1.220;1.340;1.450;1.560;1.700;1.700;1.800;1.850
 -10 ° ;1.260;1.410;1.560;1.740;1.910;2.000;2.200;2.250
 -15 ° ;1.290;1.480;1.670;1.900;2.150;2.400;2.750;2.900
 -20 ° ;1.310;1.530;1.790;2.100;2.400;2.700;3.200;3.800
 -25 ° ;1.330;1.590;1.920;2.300;2.700;3.200;3.800;4.300
 -30 ° ;1.340;1.640;2.000;2.450;3.000;3.500;4.400;5.800
 -35 ° ;1.330;1.670;2.100;2.650;3.300;4.100;5.200;6.700
 -40 ° ;1.320;1.690;2.200;2.800;3.600;4.700;6.000;8.000
 -45 ° ;1.290;1.720;2.300;3.000;4.000;5.400;7.600;10.700
 -50 ° ;1.260;1.720;2.350;3.200;4.400;6.300;8.800;13.000
 -55 ° ;1.210;1.710;2.450;3.500;4.900;7.000;11.000;16.000
 -60 ° ;1.160;1.700;2.500;3.700;5.400;8.000;12.200;20.000
 -65 ° ;1.080;1.680;2.550;3.900;5.800;9.300;15.000;25.000
 -70 ° ;1.000;1.620;2.550;4.100;6.500;10.200;18.000;32.000
 -75 ° ;  ;1.570;2.600;4.300;7.200;12.000;21.000;38.000
 -80 ° ;  ;1.480;2.600;4.500;8.000;13.500;26.000;48.000
 -85 ° ;  ;1.380;2.600;4.700;8.600;16.000;31.000;61.000
 -90 ° ;  ;1.170;2.550;5.000;9.400;18.000;36.000;76.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;1.000
 10 ° ;1.100;1.140;1.200;1.240;1.300;1.330;1.400;1.500
 5 ° ;1.190;1.290;1.400;1.500;1.630;1.700;1.800;2.000
 0 ° ;1.270;1.400;1.560;1.720;1.900;2.050;2.300;2.500
 -5 ° ;1.300;1.490;1.690;1.920;2.200;2.400;2.750;3.200
 -10 ° ;1.340;1.560;1.800;2.100;2.450;2.800;3.400;4.000
 -15 ° ;1.370;1.640;1.920;2.300;2.800;3.300;3.900;4.800
 -20 ° ;1.400;1.700;2.100;2.500;3.100;3.800;4.800;6.000
 -25 ° ;1.420;1.760;2.200;2.750;3.500;4.300;5.500;7.500
 -30 ° ;1.430;1.820;2.300;3.000;3.800;4.900;6.700;9.000
 -35 ° ;1.410;1.850;2.450;3.200;4.200;5.600;7.900;11.700
