 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 0 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -45 ° ;  ;  ;  ;1.050;1.130;1.200;1.140;1.000
 -50 ° ;  ;  ;  ;1.150;1.200;1.250;1.200;1.100
 -55 ° ;  ;  ;  ;1.200;1.250;1.320;1.280;1.230
 -60 ° ;  ;  ;  ;1.230;1.280;1.420;1.410;1.380
 -65 ° ;  ;  ;  ;1.250;1.320;1.470;1.500;1.490
 -70 ° ;  ;  ;  ;1.250;1.350;1.530;1.670;1.750
 -75 ° ;  ;  ;  ;1.250;1.380;1.600;1.830;2.050
 -80 ° ;  ;  ;  ;1.230;1.410;1.760;2.100;2.250
 -85 ° ;  ;  ;  ;1.200;1.450;1.930;2.250;2.450
 -90 ° ;  ;  ;  ;1.170;1.410;2.100;2.600;2.950
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 0 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -55 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -60 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -65 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -70 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -75 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -80 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -85 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -90 ° ;  ;  ;  ;  ;  ;  ;  ;  
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 0 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -55 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -60 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -65 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -70 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -75 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -80 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -85 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -90 ° ;  ;  ;  ;  ;  ;  ;  ;  
;;;;;;;;
